"","frasi","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"0","La mamma mi sveglia, informandomi che siamo arrivati.",0,0,0,1,0,0,0,1,1,0
"1","«Cazzo.» dico stiracchiandomi.",1,0,1,1,0,0,1,0,1,0
"2","Mi fa male tutto.",4,0,2,4,0,5,0,0,6,0
"3","«Signorina, ma che linguaggio usi?» mi rimprovera mia mamma, guardandomi dallo specchietto.",0,0,0,1,0,0,0,1,1,0
"4","Guardo fuori dal finestrino per non incontrare il suo sguardo, il paesaggio che mi circonda non è per niente come quello di Manhattan.",0,0,0,0,0,0,0,0,0,0
"5","Le ragazze girano in bikini, il mare è limpido e riflette il sole che sta tramontando.",0,1,0,0,1,0,1,1,0,2
"6","Sento caldo, così sfilo il maglione che ho indosso.",1,0,0,0,0,0,0,0,0,0
"7","Ragazzi a petto nudo camminano con le tavole da surf sottobraccio, con i capelli zuppi e i corpi gocciolanti.",0,0,0,0,0,0,0,0,0,0
"8","Si, è tutto molto bello.",0,1,0,0,1,1,1,1,0,2
"9","Ma non fa per me.",0,0,0,0,0,0,0,0,0,0
"10","La mia più grande paura è sempre stata trasferirmi.",2,1,0,2,0,0,1,0,2,0
"11","Non avrei mai voluto lasciare la mia città, i miei familiari, i miei amici, la mia scuola, che nonostante odiassi, mi aveva accompagnata fino ai miei diciassette anni.",0,0,0,0,0,0,0,1,0,0
"12","E invece ora mi trovo in California, a Los Angeles.",0,0,0,0,0,0,0,0,0,0
"13","Ci siamo trasferiti qua a causa del lavoro di mio padre.",1,1,1,1,1,1,2,2,1,3
"14","La mamma non lo voleva lontano da sè e ha preso la decisione di trasferirci tutti perché ""nessuno va lasciato da solo"".",0,0,0,1,0,0,0,1,1,0
"15","La cosa che mi fa più imbestialire è il fatto che tutto questo sia sato progettato alle mie spalle, e la sottoscritta è stata avvisata soltanto trenta giorni prima del trasferimento.",0,0,0,0,0,0,0,1,0,0
"16","Non potei neanche obiettare, il nostro piccolo appartamento era già stato messo in vendita e la nostra casa qua in California era già pronta.",0,0,0,0,0,0,0,0,1,0
"17","Dopo un mese non ho ancora mandato giù il rospo.",0,0,0,0,0,0,0,0,0,1
"18","Mi sento tradita dai miei genitori.",0,0,0,0,0,0,0,0,0,0
"19","Comunque voglio loro un mondo di bene, ma odio il fatto che non sia stata presa in considerazione la mia opinione.",2,0,2,2,0,2,0,1,2,0
"20","Ormai non ho più undici anni.",0,0,0,0,0,0,0,0,0,0
"21","Nella mia testa balenò addirittura l‘idea di cercare un lavoro e comprare una casetta tutta mia.",0,3,0,0,1,0,1,1,0,4
"22","Ma sarebbe stato tutto molto difficile, chi avrebbe pagato la spesa, le bollette, le tasse scolastiche, i libri?",0,0,0,1,0,2,0,0,3,0
"23","Mia madre?",0,1,0,0,1,1,0,1,1,1
"24","I nonni?",0,0,0,0,0,0,0,0,0,0
"25","Lo Stato?",0,0,0,0,0,0,0,0,0,0
"26","Assolutamente no, odio dipendere dagli altri.",2,1,2,2,0,2,0,2,3,0
"27","E devo dire che ancora non sono pronta per tutte queste responsabilità.",0,0,0,0,0,0,0,0,0,1
"28","Per questo sono stata obbligata a venire con loro.",0,0,0,0,0,0,0,0,0,0
"29","«Allie, vieni a darci una mano.» è mia madre che mi risveglia dai pensieri.",0,1,0,0,1,1,0,1,1,1
"30","Scendo dall‘auto e ammiro l‘umile villetta che abbiamo davanti.",0,0,1,0,0,2,0,0,2,1
"31","«Che ne dici?",0,0,0,0,0,0,0,0,0,0
"32","Ti piace?» mi chiede la mamma, appoggiando le mani sui fianchi.""Bella"" vorrei dire ""ma mai quanto il nostro vecchio appartamento"".",0,1,0,1,1,0,0,2,1,1
"33","«Discreta.» commento.",0,0,0,0,0,0,0,0,0,0
"34","Questa casa non è poi così brutta, ma non voglio dare a mia madre la soddisfazione di averla vinta.",0,1,0,0,1,1,0,1,1,2
"35","«Dovrai fartela piacere, tesoro.»",0,1,0,0,1,0,0,1,0,1
"36","Mi scocca un bacio sulla guancia e se ne va, lasciandomi da sola davanti a quel pratino troppo verde.",0,1,0,0,2,0,1,1,0,2
"37","Indugio un pò lo sguardo sullo steccato bianco, poi aiuto i miei genitori a scaricare la macchina.",0,1,0,0,1,0,0,2,0,2
"38","Comincio portando nella mia nuova camera le mie cose.",0,0,0,0,0,0,0,0,0,0
"39","Lascio il pesante scatolone a terra e mi guardo intorno.",0,0,0,1,0,0,0,0,0,1
"40","Okay, non è poi così male.",4,0,2,4,0,5,0,0,6,0
"41","Ho un letto da una piazza e mezzo al centro della stanza, accanto a questo c‘è un mobile bianco a cassettoni.",0,2,0,0,1,0,0,2,0,3
"42","Alla destra del letto c‘è una finestra che porta a un balconcino e c‘è una scrivania in prossimità della porta.",0,0,0,0,0,0,0,0,0,0
"43","Le pareti sono rosa chiaro.",0,0,0,0,0,0,0,0,0,0
"44","Poteva andarmi peggio.",0,0,0,1,0,1,0,0,1,0
"45","E se fossero state rosa shock?",1,0,0,1,0,0,1,0,1,0
"46","Ugh, che orrore.",1,0,1,1,0,1,1,0,1,0
"47","Comincio a disfare la valigia e lo scatolone che ho appena portato in camera.",0,0,0,0,0,0,0,0,0,0
"48","Tutti i miei vestiti si sono rovinati, li ho ammucchiati con noncuranza.",0,0,0,0,0,0,0,0,0,0
"49","Ed ecco i risultati.",0,0,0,0,0,0,0,0,0,0
"50","Tutti striminziti e pieni di pieghe.",0,0,0,0,0,0,0,0,0,0
"51","Svuoto tutto sul letto e ripiego tutti i miei indumenti, poi li sistemo nell‘armadio che si trova sulla parete sinistra.",0,0,0,0,0,0,0,0,0,0
"52","La mattinata sembra non passare mai, così decido di darmi una sistemata e perlustrare un pò la zona.",0,0,0,0,0,0,0,0,0,0
"53","Infilo un paio di jeans strappati, una maglietta bianca e le supersta, poi metto le cuffiette nelle orecchie ed esco di casa.",0,0,0,0,0,0,0,0,0,0
"54","Il posto qui intorno è carino, inoltre sono vicinissima al mare.",0,0,0,0,0,0,0,0,0,2
"55","Vedo dei negozi in lontananza, così decido di avvicinarmi:",0,0,0,0,0,0,0,0,0,0
"56","dovrei rifare il guardaroba dato che qua non metterò mai un maglione pesante.",0,0,0,1,0,0,0,0,0,0
"57","Con i pochi soldi che mi sono portata compro solamente un top e una maglietta nera con una piccola scritta sulla parte sinistra.""Fuck you.""Il mio mood di sempre.",1,1,0,0,1,0,1,1,0,1
"58","Con i soldi che mi rimangono passo nella cartoleria lì di fianco e prendo qualcosa per riempire il mio astuccio.",1,1,0,0,1,0,1,2,0,1
"59","Quando esco, il sole sembra essersi concentrato solo su Los Angeles.",0,1,0,0,1,0,1,1,0,1
"60","Mi sto letteralmente squagliando.",0,0,0,0,0,0,0,0,0,0
"61","Mentre cammino vedo un ragazzo correre nel senso opposto al mio.",0,0,1,0,0,0,0,0,1,1
"62","Mi da una spallata così forte che per poco non mi fa cadere tutte le buste.",0,0,0,0,0,1,0,1,1,1
"63","«Guarda quello che fai, razza di squilibrato!» urlo togliendomi una cuffietta.",3,0,2,2,0,1,2,0,2,0
"64","Il ragazzo torna sui suoi passi e mi guarda divertito.",0,0,1,0,1,0,0,0,1,1
"65","«Che caratterino.",0,0,0,0,0,0,0,0,0,0
"66","Non sei di qui, vero?» dice squadrandomi da testa a piedi.",0,0,0,0,1,0,0,2,0,3
"67","«Comunque scusami, sto andando di corsa.» dice.",0,0,0,1,0,1,0,0,1,0
"68","Fa per presentarsi ma io gli do le spalle e torno a camminare.",0,0,0,0,0,0,0,0,0,0
"69","Che razza di cretino.",0,0,0,0,0,0,0,0,0,0
"70","«Mi chiamo Trevor!» lo sento urlare con tutta la musica nelle orecchie, deve aver gridato parecchio.",2,0,1,2,1,1,2,0,2,1
"71","Continuo ad ignorarlo e torno a casa, questa mezza mattinata in giro per il quartiere mi ha già esasperata.",0,0,0,0,0,0,0,0,0,0
"72","I miei genitori tornano a casa verso le sette di sera con varie buste della spesa.",0,0,0,0,0,0,0,0,1,0
"73","Finalmente cibo.",0,0,0,0,1,0,0,1,0,1
"74","«Ciao tesoro.» mia madre mi saluta lasciandomi un bacio sulla testa.",0,3,0,0,3,1,1,2,1,3
"75","Le do qualche leggera pacca sulla schiena e mi avvicino alle buste per vedere cos‘hanno comprato.",0,0,0,0,0,0,0,0,0,0
"76","«Hai pranzato oggi?» mi chiede mio padre.",0,0,0,0,0,0,0,1,0,0
"77","Mostro le mensole vuote.",1,0,1,2,0,0,0,0,2,0
"78","«La risposta mi sembra abbastanza ovvia.» dico, aiutandoli a mettere tutto a posto.",0,0,0,0,0,0,0,1,0,1
"79","Ceniamo tutti insieme, e dopo aver fatto una doccia veloce vado a dormire.-È domenica.",0,0,0,0,0,0,1,2,1,3
"80","Per la giornata non si prospetta niente, se non tv, gelato e divano.",0,0,0,0,0,1,0,1,0,0
"81","«Allie, ti va di andare al mare?» mi chiede la mamma da fuori la porta.",0,0,0,1,0,0,0,1,1,1
"82","Come non detto.",0,0,0,0,0,0,0,1,0,0
"83","I miei piani sono stati già distrutti.",0,0,0,0,0,0,0,0,0,0
"84","«No.» ribatto secca.",0,0,0,0,0,0,0,0,1,0
"85","La sento allontanarsi, ma poi entra mio padre senza chiedere il permesso.",0,0,0,0,0,0,0,1,0,0
"86","«Allie, non andremo al mare ma qualcosa dovremmo pur fare oggi.",0,0,0,0,0,0,0,0,0,1
"87","Quindi vestiti, andiamo in qualche centro commerciale e ti troviamo qualcosa di più leggero da mettere perché qui il clima è completamente differente da quello di Manhattan.» dice indicando la mia pila di maglioni dentro l‘armadio.",0,0,0,0,0,0,0,2,0,3
"88","Quel nome mi fa ribaltare lo stomaco, mi fa salire una strana sensazione.",0,0,1,0,0,0,0,0,1,0
"89","«In realtà ieri ho comprato due magliettine e...»",0,0,0,0,0,0,0,0,0,0
"90","«Non voglio obiezioni.",0,0,0,0,0,0,0,0,0,0
"91","Tra dieci minuti ti voglio pronta in salone.»",0,0,0,0,0,1,0,0,2,0
"92","Esce dalla mia camera senza darmi il tempo di ribattere.",0,1,0,0,0,0,0,0,0,0
