,Negative,Neutral,Positive
"Una volta essermi lavata e vestita scendo al piano di sotto dove Carla aveva già preparato la colazione.
",0.0020267695654183626,0.95624178647995,0.04173138737678528
"Mamma Brasiliana e papà Americano hanno messo su una famiglia di cretini, la famiglia Hill.
",0.17423123121261597,0.8237735629081726,0.001995258964598179
"Kaya richiude la porta, gira la chiave nella serratura e mi intrappola dentro con lei.
",0.09591075778007507,0.8445191383361816,0.059570036828517914
"Renee si girò verso di me e schiattò in una risata isterica.
",0.2894026041030884,0.4682249128818512,0.24237246811389923
"Jennifer si sentì inondare dalla rabbia e resistette all’impulso di tirargli uno schiaffo, Jacob le si pose davanti e lanciò un’occhiataccia a colui che aveva osato offenderla, il vampiro intimorito si fece da parte.
",0.3712787330150604,0.6230856776237488,0.005635563284158707
"- Soph mi dici il nome così lo cerco su Instagram?-.
",0.0007393104024231434,0.9980958104133606,0.0011648401850834489
"- Ehi ciao Carlotta - la saluto prendendola in braccio.
",0.0002443886478431523,0.9514294862747192,0.04832615703344345
"Ginny si mise la maglia e Harry rise, <perché ridi?> chiese, <perché ti sta larga>, disse lui dandole un bacio sulla fronte per poi scendere sulle labbra e prenderla in braccio.
",0.0011023113038390875,0.9870342016220093,0.01186351478099823
"Sveglia, Allie.
",0.0002453578927088529,0.9946671724319458,0.005087496247142553
"""Aurora:""Vuoi che fuggiamo?"" Stefan:""Si, in poche parole.
",0.0004169743333477527,0.997833788394928,0.0017493130872026086
"Gaia non mi risponde, si limita a fissarmi, una sua mano si alza accarezzandomi la guancia.
",0.0022598139476031065,0.9863518476486206,0.011388304643332958
"Tu non hai neanche un minimo di rispetto per Crystal.
",0.17266841232776642,0.8068464398384094,0.020485181361436844
"La assaporo, stringendole i glutei e quando mi spingo un po‘ oltre, Bea, urla il mio nome incurvandosi, continuo a toccarla, morderla e baciarla mai sazio.
",0.006527840159833431,0.061610545963048935,0.9318616390228271
"Mamma schiarisce la voce e Giorgio si stacca ridacchiando.
",0.046412110328674316,0.9020866751670837,0.051501113921403885
"«Non ho nessun disturbo, sono normalissima» ribatto, senza rinfacciare il fatto che lui è un lupo a metà.
",0.0026403593365103006,0.9164108037948608,0.08094893395900726
"È colpa sua se tra me e te le cose non funzionano più"" ""Madison, non è colpa di Holly se io e te ci siamo mollati, sei tu cazzo, tu devi sempre controllare tutto e tutti e sei così finta che non so se ci sia qualcosa di vero in te"" esclamò lui freddo. 
",0.9828742742538452,0.016908913850784302,0.00021677110635209829
"Si sentì il rumore di uno schiaffo e poi un grido: ""Sei solo uno stronzo"".
",0.5518471598625183,0.4470161199569702,0.0011366980616003275
"Sentii il rumore dei suoi tacchi sempre più lontani, segno che era andata via.
",0.016529738903045654,0.9532173275947571,0.030252907425165176
"«Tu, Arya?» mi chiede poi Dylan.
",0.0002095026575261727,0.9982158541679382,0.0015745378332212567
"Charlotte annuì e, senza aggiungere altro, prese il giubbotto e uscì di casa.
",0.0011568748159334064,0.9552372694015503,0.043605923652648926
"<Gaia> alzo lo sguardo e vedo davanti a me Chiara, la tirapiedi di Brianna <La tua amica ha già provveduto a darmi fastidio, perciò puoi anche evitare di farlo tu> sono scontrosa oggi.
",0.8569378852844238,0.1421099603176117,0.0009520404855720699
"«Anche la Regina Bianca e gli altri miei amici sarebbero dovuti morire di stenti nella cella in cui li avevi rinchiusi?»  lo provocò.
",0.01628309115767479,0.9824475646018982,0.0012692947639152408
"no, io e te dobbiamo parlare - dice sorridendo - Vuoi finire senza testa eh Kassie?- dico sbuffando
",0.021651314571499825,0.9763369560241699,0.0020118127577006817
"Era bellissima, aveva lo stesso colore dei miei occhi, le mie stesse labbra e anche il nasino era simile al mio, i lineamenti facciali li aveva ereditati da Abel e anche il colore dei suoi capelli.
",0.00012382329441606998,0.00208966969512403,0.9977865219116211
"Annuisco a ciò che ha detto Mor e le chiedo se avesse dei vestiti comodi per la trasformazione e la corsa nel bosco.
",0.0012036547996103764,0.8676354885101318,0.13116084039211273
"Il mio pensiero va subito alla povera Sam, che immagino solo il pomeriggio pesante che avrà passato a causa di suo fratello.
",0.1607200652360916,0.8321340084075928,0.007145953364670277
"""Chia noi vogliamo aiutarti ma se da parte tua non c‘è alcuna collaborazione per cercare di non fartelo pesare, passerai le prossime due settimane a piangere"" le spiega Claudia""
",0.05027966946363449,0.9480124711990356,0.0017078542150557041
"- Buon giorno Alexa, finalmente è il grande giorno, forza vieni- Alexa gli si avvicinò riluttante.
",0.0003223980020266026,0.016736948862671852,0.9829406142234802
"Raggiungo il luogo dell’appuntamento e trovo già le mie amiche ad aspettarmi < eccola qui la lady del boss > scherza Gloria quando mi vede arrivare, dopo tutto questo tempo ancora non sono abituati all’idea di me e Luke insieme e continuano a fare battutine < preferisco essere chiamata sua altezza grazie > rispondo con finta serietà, le ragazze scoppiano a ridere e mi abbracciano < su forza andiamo, lo shopping ci aspetta > dice Diane, e tutte ci incamminiamo lungo il marciapiedi.
",0.0007579859811812639,0.06744764000177383,0.9317943453788757
"«Il Re desidera ballare con te» spiega Samanta, tanto ci vuoleva a dirlo?
",0.00026988363242708147,0.8399061560630798,0.15982407331466675
"Fantastico, ottimo autocontrollo, Nesta Roberts, davvero.
",0.00010346172348363325,0.0022028745152056217,0.9976935982704163
"""Meglio non azzardare,"" ripete la piratessa dai capelli lunghi, mentre si avvicina a Rick ancheggiando con atteggiamento arrogante.
",0.2264316827058792,0.7723584175109863,0.0012099473970010877
"In fin dei conti, ho aiutato Nicole.
",0.000521982554346323,0.44980594515800476,0.5496721267700195
"Ero avvolto in quella foto e non sentì Ashlee arrivare, me ne accorsi solo quando iniziò a parlare: <<Non appena metto un piede nell‘acqua mi rendo conto che è davvero gelato, poi Matt mi schizza ridendo.
",0.0004967220593243837,0.010201016440987587,0.9893022179603577
"Anche se con quella domanda, aveva evaso la domanda che Artemisia aveva porto a Boris.
",0.03990674391388893,0.9482370018959045,0.011856330558657646
"Non so quante e quali informazioni abbia il padre di Kaya in suo possesso, non so se siano abbastanza per far tornare tutto a galla ma, come ha detto lui, i mezzi per andare a fondo e scoprire di più non gli mancano.
",0.051993127912282944,0.6768365502357483,0.27117034792900085
"Eloise crebbe insieme ai figli dei Royalts, le perfide gemelle Anne e Catherine che fecero di tutto per renderle la vita un inferno, di tre anni più grandi di lei e il signorino Luke, che aveva esattamente la sua stessa età ed era bello come il sole.
",0.0002462412230670452,0.015349914319813251,0.9844038486480713
"Stessa cosa con India, anche se con lei sono un tutt‘uno.
",0.0003667113487608731,0.9918781518936157,0.007755239959806204
"- Dea Luna vi prego, riportatemi sulla terra...-.
",0.0005638700677081943,0.9705119132995605,0.028924154117703438
"Ecco, lei è la parrucchiera di fiducia di cui parlavo prima, Mary, colei capace di cambiare colore di capelli ogni tre giorni senza farli risultare sciupati nemmeno un pochino.
",0.00044691096991300583,0.32272765040397644,0.6768254041671753
"I successivi 3 giorni Emily li passò in ospedale, con la dottoressa che la consigliava, Ginevra che le teneva compagnia e i suoi colleghi che andarono a trovarla.
",0.0007431781850755215,0.973730206489563,0.025526685640215874
"""Ellen svegliati!"" sento qualcuno scuotere il mio corpo.
",0.006254091858863831,0.9925839900970459,0.0011620123405009508
"Dazira si accovacciò a spalle al muro, il più lontano possibile da quel buco che, a quanto pareva, era la sua latrina.
",0.007333989255130291,0.9616689085960388,0.03099714405834675
"Adeline sembra andare improvvisamente su tutte le furie, la raggiunge a passo svelto e la spintona violentemente, facendola quasi rotolare sul pavimento.
",0.48727789521217346,0.4953867793083191,0.017335450276732445
"Il giovedì è abbastanza tranquillo, questo perché in pausa pranzo Nikla non c‘è e di conseguenza River se ne sta più in silenzio di quanto non faccia di solito.
",0.0019106492400169373,0.26335424184799194,0.7347350716590881
"<allora io vado, ci vediamo domenica mammina> scherzò la riccia dirigendosi alla porta, la ragazza mise la mano sul pomello della porta ma questa si aprì dall‘esterno e rivelò Harry.
",0.001280238968320191,0.9883212447166443,0.010398546233773232
"Ed io ero solo Sofia Ferrari.
",0.013056798838078976,0.9177402853965759,0.06920291483402252
"""Non aveva mai dato la sua felpa a nessuna ragazza"" dice Ginny entrando in camera di Ron mano nella mano con Harry.
",0.0034643460530787706,0.9907743334770203,0.005761305335909128
"""Aurora: ""Non dirlo a me.""
",0.0004895449965260923,0.9987427592277527,0.0007677112589590251
"""È perfetta, avete fatto un ottimo lavoro"" afferma Sophia guardando la tavola apparecchiata.
",0.00011738626926671714,0.0014923891285434365,0.9983901977539062
"Sento il ticchettio dei tacchi di mia madre inseguirmi <Con chi vai a scuola Gaia?> mi madre incrocia le braccia al petto guardandomi circospetta.
",0.004408292472362518,0.9726438522338867,0.022947823628783226
"Io morirò Crystal e meno persone soffrono meglio é‘ mi disse il riccio.
",0.0012667577248066664,0.18392696976661682,0.8148062825202942
"Amy la guarda ancora più perplessa, Clara sospira capendo dove sta andando a parare Nali e scuote la testa rassegnata.
",0.005409881938248873,0.8961977362632751,0.09839233011007309
"Non mi lascia il tempo di rispondere, perché percorre le scale in fretta e va in cucina, lo sento parlottare con Adelaide, mentre io sono ancora ferma al primo scalino.
",0.577528715133667,0.38111257553100586,0.041358768939971924
